id;test;ctrl;valence;time;q1;q2;q3;q4;q5;q6;q7;q8;q9;q10;q11;q12;age;gender;income;work;car;edu;device;day;hour
161;6;7;5;1595;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;1;5;4;1478;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;5;6;2;2083;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;4;6;3;2513;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;4;5;3;1309;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;5;7;3;1469;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;6;7;2;1783;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;4;7;3;1379;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;3;7;3;1757;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;5;7;3;1873;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;6;7;3;2187;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
161;6;5;4;1695;6;6;6;6;5;5;5;7;6;7;7;7;39.0;0.0;6.0;1.0;0.0;3.0;0;1;11
162;4;7;1;1743;5;5;5;5;7;5;6;6;5;5;7;7;34.0;1.0;3.0;1.0;0.0;3.0;0;1;13
162;5;6;1;1551;5;5;5;5;7;5;6;6;5;5;7;7;34.0;1.0;3.0;1.0;0.0;3.0;0;1;13
162;6;7;3;1348;5;5;5;5;7;5;6;6;5;5;7;7;34.0;1.0;3.0;1.0;0.0;3.0;0;1;13
162;3;7;3;1652;5;5;5;5;7;5;6;6;5;5;7;7;34.0;1.0;3.0;1.0;0.0;3.0;0;1;13
162;1;5;5;1517;5;5;5;5;7;5;6;6;5;5;7;7;34.0;1.0;3.0;1.0;0.0;3.0;0;1;13
162;1;7;2;2128;5;5;5;5;7;5;6;6;5;5;7;7;34.0;1.0;3.0;1.0;0.0;3.0;0;1;13
162;6;7;3;1420;5;5;5;5;7;5;6;6;5;5;7;7;34.0;1.0;3.0;1.0;0.0;3.0;0;1;13
162;5;5;5;1457;5;5;5;5;7;5;6;6;5;5;7;7;34.0;1.0;3.0;1.0;0.0;3.0;0;1;13
162;3;7;3;1625;5;5;5;5;7;5;6;6;5;5;7;7;34.0;1.0;3.0;1.0;0.0;3.0;0;1;13
162;5;6;1;1570;5;5;5;5;7;5;6;6;5;5;7;7;34.0;1.0;3.0;1.0;0.0;3.0;0;1;13
162;5;7;4;2091;5;5;5;5;7;5;6;6;5;5;7;7;34.0;1.0;3.0;1.0;0.0;3.0;0;1;13
162;6;7;3;1431;5;5;5;5;7;5;6;6;5;5;7;7;34.0;1.0;3.0;1.0;0.0;3.0;0;1;13
162;4;5;5;1520;5;5;5;5;7;5;6;6;5;5;7;7;34.0;1.0;3.0;1.0;0.0;3.0;0;1;13
162;3;5;5;1598;5;5;5;5;7;5;6;6;5;5;7;7;34.0;1.0;3.0;1.0;0.0;3.0;0;1;13
162;2;7;3;1388;5;5;5;5;7;5;6;6;5;5;7;7;34.0;1.0;3.0;1.0;0.0;3.0;0;1;13
